sheet,row,code,measure,range,year,excel,pipeline,status,diff,n_sumifs,sample_formula
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_20,20,2024,338745900.0,338745900.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ5_20,""222930 Servicii de cercetari stiintifice contractate"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2006,19164372.0,19164372.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2007,25696500.0,25696500.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2008,31476910.0,31476910.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2009,35849814.0,35849814.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2010,32844590.0,32844590.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2011,0.0,0.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2012,0.0,0.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2013,0.0,0.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2014,19573925.0,19573925.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,14,EXP_ECON_REC_MAI_EXE,approved,base,2015,22359197.0,22359197.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")"
Approved,15,EXP_ECON_SUB_EXE,approved,base,2006,608796500.0,608796500.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""132 Transfers for production purposes"")"
